Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
13901;1000000522417222622;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.168, 0.095, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.168, 0.095, 0.981);(-0.033, 0.000, 0.000);0.284;3.629;12.765;VALID;(-0.168, 0.095, 0.981);(0.033, 0.000, 0.000);0.309;3.789;12.245;2;0.3531714
13902;1000000522422224299;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.168, 0.095, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.168, 0.095, 0.981);(-0.033, 0.000, 0.000);0.284;3.629;12.765;VALID;(-0.168, 0.095, 0.981);(0.033, 0.000, 0.000);0.308;3.773;12.245;2;0.4374523
13903;1000000522427226105;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.167, 0.095, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.167, 0.095, 0.981);(-0.033, 0.000, 0.000);0.284;3.629;12.765;VALID;(-0.167, 0.095, 0.981);(0.033, 0.000, 0.000);0.308;3.766;12.245;2;0.4564734
13904;1000000522432228039;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.167, 0.095, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.167, 0.095, 0.981);(-0.033, 0.000, 0.000);0.284;3.629;12.765;VALID;(-0.167, 0.095, 0.981);(0.033, 0.000, 0.000);0.309;3.783;12.245;2;0.4027539
13905;1000000522437230102;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.167, 0.095, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.167, 0.095, 0.981);(-0.033, 0.000, 0.000);0.284;3.628;12.765;VALID;(-0.167, 0.095, 0.981);(0.033, 0.000, 0.000);0.308;3.773;12.245;2;0.4775265
13906;1000000522442232294;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.167, 0.095, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.167, 0.095, 0.981);(-0.033, 0.000, 0.000);0.284;3.628;12.765;VALID;(-0.167, 0.095, 0.981);(0.033, 0.000, 0.000);0.307;3.765;12.245;2;0.5581375
13907;1000000522447234533;63862092735031;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.166, 0.095, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.166, 0.095, 0.981);(-0.033, 0.000, 0.000);0.284;3.628;12.765;VALID;(-0.166, 0.095, 0.981);(0.033, 0.000, 0.000);0.307;3.759;12.245;2;0.6170263
13908;1000000522452236764;63862092735031;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.166, 0.095, 0.982);(0.000, 0.000, 0.000);63.875;VALID;(-0.166, 0.095, 0.982);(-0.033, 0.000, 0.000);0.284;3.628;12.765;VALID;(-0.166, 0.095, 0.982);(0.033, 0.000, 0.000);0.307;3.755;12.245;2;0.6957937
13909;1000000522457238933;63862092735031;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.166, 0.095, 0.982);(0.000, 0.000, 0.000);63.875;VALID;(-0.166, 0.095, 0.982);(-0.033, 0.000, 0.000);0.284;3.626;12.765;VALID;(-0.166, 0.095, 0.982);(0.033, 0.000, 0.000);0.306;3.750;12.245;2;0.5437182
13910;1000000522462240959;63862092735031;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.167, 0.095, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.167, 0.095, 0.981);(-0.033, 0.000, 0.000);0.284;3.625;12.765;VALID;(-0.167, 0.095, 0.981);(0.033, 0.000, 0.000);0.305;3.730;12.245;2;0.4361575
13911;1000000522467246303;63862092735031;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.168, 0.095, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.168, 0.095, 0.981);(-0.033, 0.000, 0.000);0.283;3.619;12.765;VALID;(-0.168, 0.095, 0.981);(0.033, 0.000, 0.000);0.304;3.719;12.245;2;0.3804331
13912;1000000522472248060;63862092735031;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.169, 0.095, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.169, 0.095, 0.981);(-0.033, 0.000, 0.000);0.283;3.612;12.765;VALID;(-0.169, 0.095, 0.981);(0.033, 0.000, 0.000);0.304;3.718;12.245;2;0.2771703
13913;1000000522477249730;63862092735031;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.172, 0.095, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.172, 0.095, 0.981);(-0.033, 0.000, 0.000);0.283;3.610;12.765;VALID;(-0.172, 0.095, 0.981);(0.033, 0.000, 0.000);0.304;3.718;12.245;2;0.2436799
13914;1000000522482251394;63862092735031;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.175, 0.095, 0.980);(0.000, 0.000, 0.000);63.875;VALID;(-0.175, 0.095, 0.980);(-0.033, 0.000, 0.000);0.283;3.609;12.765;VALID;(-0.175, 0.095, 0.980);(0.033, 0.000, 0.000);0.304;3.717;12.245;2;0.2301495
13915;1000000522487253052;63862092735031;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.178, 0.095, 0.979);(0.000, 0.000, 0.000);63.875;VALID;(-0.178, 0.095, 0.979);(-0.033, 0.000, 0.000);0.283;3.608;12.765;VALID;(-0.178, 0.095, 0.979);(0.033, 0.000, 0.000);0.303;3.715;12.245;2;0.2596922
13916;1000000522492254704;63862092735031;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.183, 0.096, 0.978);(0.000, 0.000, 0.000);63.875;VALID;(-0.183, 0.096, 0.978);(-0.033, 0.000, 0.000);0.283;3.608;12.765;VALID;(-0.183, 0.096, 0.978);(0.033, 0.000, 0.000);0.307;3.759;12.245;2;0.1720761
13917;1000000522497256350;63862092735031;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.186, 0.096, 0.978);(0.000, 0.000, 0.000);63.875;VALID;(-0.186, 0.096, 0.978);(-0.033, 0.000, 0.000);0.283;3.608;12.765;VALID;(-0.186, 0.096, 0.978);(0.033, 0.000, 0.000);0.305;3.734;12.245;2;0.08084781
13918;1000000522502258018;63862092735031;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.189, 0.096, 0.977);(0.000, 0.000, 0.000);63.875;VALID;(-0.189, 0.096, 0.977);(-0.033, 0.000, 0.000);0.283;3.608;12.765;VALID;(-0.189, 0.096, 0.977);(0.033, 0.000, 0.000);0.304;3.721;12.245;2;0.126008
